Fecha,P34,P63,M5023,M5025,Temperatura_M5023 (°C),Humedad_Relativa_M5023 (%),Humedad_Suelo_M5023 (m³/m³),Temperatura_M5025 (°C),Humedad_Relativa_M5025 (%),Humedad_Suelo_M5025 (m³/m³),Temperatura_P34 (°C),Humedad_Relativa_P34 (%),Humedad_Suelo_P34 (m³/m³),Temperatura_P63 (°C),Humedad_Relativa_P63 (%),Humedad_Suelo_P63 (m³/m³)
2024-03-02 09:00:00,,,0.0,0.0,4.006999969482422,97.22718811035156,,3.9735000133514404,92.53617858886719,,6.431000232696533,93.97232818603516,,1.9584999084472656,92.41742706298828,
2024-03-02 10:00:00,,,0.0,0.0,3.306999921798706,96.52537536621094,,3.823500156402588,90.25578308105469,,5.480999946594238,94.25611114501953,,1.808500051498413,90.1025161743164,
2024-03-02 11:00:00,,,0.0,0.0,2.9570000171661377,95.49151611328125,,3.323500156402588,90.54072570800781,,5.281000137329102,91.64265441894531,,1.308500051498413,90.39141845703125,
2024-03-02 12:00:00,,,0.0,0.0,3.4570000171661377,94.49880981445312,,3.0235002040863037,91.16852569580078,,6.181000232696533,91.06362915039062,,1.008500099182129,91.02847290039062,
2024-03-02 13:00:00,,,0.0,0.0,6.85699987411499,94.31747436523438,,5.423500061035156,97.25830841064453,,10.180999755859375,85.05555725097656,,3.4085001945495605,97.2138900756836,
2024-03-02 14:00:00,,,0.0,0.0,8.857000350952148,79.51671600341797,,7.673500061035156,76.07180786132812,,11.231000900268555,79.8584213256836,,5.6585001945495605,75.73133087158203,
2024-03-02 15:00:00,,,0.0,0.0,9.357000350952148,79.86463165283203,,8.923500061035156,69.15547943115234,,11.531000137329102,82.09645080566406,,6.9085001945495605,68.73930358886719,
2024-03-02 16:00:00,,,0.0,0.0,9.956999778747559,78.3173599243164,,9.173500061035156,71.42649841308594,,12.180999755859375,78.9190444946289,,7.1585001945495605,71.03497314453125,
2024-03-02 17:00:00,,,0.0,0.0,10.006999969482422,78.0557861328125,,9.57349967956543,70.75807189941406,,11.930999755859375,79.95763397216797,,7.558499813079834,70.35993194580078,
2024-03-02 18:00:00,,,0.0,0.0,9.607000350952148,83.83690643310547,,8.523499488830566,75.6825942993164,,11.031000137329102,88.07063293457031,,6.508499622344971,75.33863830566406,
2024-03-02 19:00:00,,,0.0,0.0,9.756999969482422,87.36048126220703,,8.32349967956543,84.26597595214844,,11.731000900268555,86.3766860961914,,6.308499813079834,84.0310287475586,
2024-03-02 20:00:00,,,0.0,0.0,9.506999969482422,87.63544464111328,,7.373499870300293,85.03971099853516,,12.131000518798828,83.56660461425781,,5.358500003814697,84.81444549560547,
2024-03-02 21:00:00,,,0.0,0.0,9.357000350952148,83.23388671875,,7.023499965667725,90.49207305908203,,11.580999374389648,88.11910247802734,,5.008500099182129,90.34427642822266,
2024-03-02 22:00:00,,,0.0,0.0,8.857000350952148,90.62368774414062,,6.57349967956543,96.28132629394531,,11.231000900268555,89.88150787353516,,4.558499813079834,96.22164916992188,
2024-03-02 23:00:00,,,0.0,0.0,8.506999969482422,90.59877014160156,,6.123499870300293,94.2848892211914,,10.981000900268555,91.38414764404297,,4.108500003814697,94.19393920898438,
2024-03-03 00:00:00,,,0.0,0.0,7.706999778747559,96.31427001953125,,5.723499774932861,98.9664535522461,,9.981000900268555,97.35494232177734,,3.7084999084472656,98.94957733154297,
2024-03-03 01:00:00,,,0.0,0.0,7.456999778747559,98.64288330078125,,5.723499774932861,98.62403106689453,,9.881000518798828,99.33232879638672,,3.7084999084472656,98.60160827636719,
2024-03-03 02:00:00,,,0.0,0.0,7.307000160217285,97.96804809570312,,5.523499965667725,99.30880737304688,,9.781000137329102,98.99920654296875,,3.508500099182129,99.29750061035156,
2024-03-03 03:00:00,,,0.0,0.0,7.4070000648498535,94.66655731201172,,5.623499870300293,96.5887680053711,,9.981000900268555,93.50305938720703,,3.6085000038146973,96.53372192382812,
2024-03-03 04:00:00,,,0.0,0.0,7.35699987411499,93.37055206298828,,5.673500061035156,95.25521087646484,,9.680999755859375,95.723388671875,,3.6585001945495605,95.17918395996094,
2024-03-03 05:00:00,,,0.0,0.0,6.557000160217285,97.61885833740234,,5.273499965667725,97.59446716308594,,9.381000518798828,93.79029846191406,,3.258500099182129,97.55540466308594,
2024-03-03 06:00:00,,,0.0,0.0,6.35699987411499,98.63097381591797,,4.923500061035156,98.61520385742188,,8.730999946594238,95.69171142578125,,2.9085001945495605,98.59256744384766,
2024-03-03 07:00:00,,,0.0,0.0,6.557000160217285,95.617919921875,,4.673500061035156,98.95770263671875,,9.281000137329102,92.2078857421875,,2.6585001945495605,98.94062805175781,
2024-03-03 08:00:00,,,0.0,0.0,5.807000160217285,95.92488861083984,,4.473499774932861,99.30294799804688,,8.580999374389648,92.79759216308594,,2.4584999084472656,99.29148864746094,
